ElementID,Name,Abstract Data Type,Data Type Semantics,Status,Description,Units,Range,References,Requester,Revision,Date,Enterprise ID,Data Size,
100,sourcePodNamespace,string,,current,,,,,,,,56506,,
101,sourcePodName,string,,current,,,,,,,,56506,,
102,destinationPodNamespace,string,,current,,,,,,,,56506,,
103,destinationPodName,string,,current,,,,,,,,56506,,
104,sourceNodeName,string,,current,,,,,,,,56506,,
105,destinationNodeName,string,,current,,,,,,,,56506,,
106,destinationClusterIPv4,ipv4Address,,current,,,,,,,,56506,,
107,destinationClusterIPv6,ipv6Address,,current,,,,,,,,56506,,
108,destinationServicePort,unsigned16,,current,,,,,,,,56506,,
109,destinationServicePortName,string,,current,,,,,,,,56506,,
110,ingressNetworkPolicyName,string,,current,,,,,,,,56506,,
111,ingressNetworkPolicyNamespace,string,,current,,,,,,,,56506,,
112,egressNetworkPolicyName,string,,current,,,,,,,,56506,,
113,egressNetworkPolicyNamespace,string,,current,,,,,,,,56506,,
114,ingressNetworkPolicyUID,string,,current,,,,,,,,56506,,
115,ingressNetworkPolicyType,unsigned8,,current,Supported Actions(uint8 value): NetworkPolicyTypeK8sNetworkPolicy(1) NetworkPolicyTypeAntreaNetworkPolicy(2) NetworkPolicyTypeAntreaClusterNetworkPolicy(3),,,,,,,56506,,
116,ingressNetworkPolicyRulePriority,signed32,,current,Only applicable to Antrea Network Policy and Antrea Cluster Network Policy,,,,,,,56506,,
117,egressNetworkPolicyUID,string,,current,,,,,,,,56506,,
118,egressNetworkPolicyType,unsigned8,,current,Supported Actions(uint8 value): NetworkPolicyTypeK8sNetworkPolicy(1) NetworkPolicyTypeAntreaNetworkPolicy(2) NetworkPolicyTypeAntreaClusterNetworkPolicy(3),,,,,,,56506,,
119,egressNetworkPolicyRulePriority,signed32,,current,Only applicable to Antrea Network Policy and Antrea Cluster Network Policy,,,,,,,56506,,
120,packetTotalCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
121,octetTotalCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
122,packetDeltaCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
123,octetDeltaCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
124,reversePacketTotalCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
125,reverseOctetTotalCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
126,reversePacketDeltaCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
127,reverseOctetDeltaCountFromSourceNode,unsigned64,,current,,,,,,,,56506,,
128,packetTotalCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
129,octetTotalCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
130,packetDeltaCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
131,octetDeltaCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
132,reversePacketTotalCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
133,reverseOctetTotalCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
134,reversePacketDeltaCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
135,reverseOctetDeltaCountFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
136,tcpState,string,,current,,,,,,,,56506,,
137,flowType,unsigned8,,current,The type of flow is based on the location of the source and destination Pods. Supported Types(uint8 value): FlowTypeIntraNode(1) FlowTypeInterNode(2) FlowTypeToExternal(3) and FlowTypeFromExternal(4),,,,,,,56506,,
138,tcpStatePrevList,string,,current,,,,,,,,56506,,
139,ingressNetworkPolicyRuleAction,unsigned8,,current,Supported Actions(uint8 value): NetworkPolicyRuleActionNoAction(0) NetworkPolicyRuleActionAllow(1) NetworkPolicyRuleActionDrop(2) NetworkPolicyRuleActionReject(3),,,,,,,56506,,
140,egressNetworkPolicyRuleAction,unsigned8,,current,Supported Actions(uint8 value): NetworkPolicyRuleActionAllow(1) NetworkPolicyRuleActionDrop(2) NetworkPolicyRuleActionReject(3),,,,,,,56506,,
141,ingressNetworkPolicyRuleName,string,,current,,,,,,,,56506,,
142,egressNetworkPolicyRuleName,string,,current,,,,,,,,56506,,
143,sourcePodLabels,string,,current,,,,,,,,56506,,
144,destinationPodLabels,string,,current,,,,,,,,56506,,
145,throughput,unsigned64,,current,,,,,,,,56506,,
146,reverseThroughput,unsigned64,,current,,,,,,,,56506,,
147,throughputFromSourceNode,unsigned64,,current,,,,,,,,56506,,
148,throughputFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
149,reverseThroughputFromSourceNode,unsigned64,,current,,,,,,,,56506,,
150,reverseThroughputFromDestinationNode,unsigned64,,current,,,,,,,,56506,,
151,flowEndSecondsFromSourceNode,dateTimeSeconds,,current,,,,,,,,56506,,
152,flowEndSecondsFromDestinationNode,dateTimeSeconds,,current,,,,,,,,56506,,
153,egressName,string,,current,,,,,,,,56506,,
154,egressIP,string,,current,,,,,,,,56506,,
155,appProtocolName,string,,current,,,,,,,,56506,,
156,httpVals,string,,current,,,,,,,,56506,,
157,egressNodeName,string,,current,,,,,,,,56506,,
158,clusterId,string,,current,,,,,,,,56506,,
159,sourcePodUUID,octetArray,,current,,,,,,,,56506,16,
160,destinationPodUUID,octetArray,,current,,,,,,,,56506,16,
161,sourceNodeUUID,octetArray,,current,,,,,,,,56506,16,
162,destinationNodeUUID,octetArray,,current,,,,,,,,56506,16,
163,destinationServiceUUID,octetArray,,current,,,,,,,,56506,16,
164,ingressNetworkPolicyUUID,octetArray,,current,,,,,,,,56506,16,
165,egressNetworkPolicyUUID,octetArray,,current,,,,,,,,56506,16,
166,egressUUID,octetArray,,current,,,,,,,,56506,16,
167,egressNodeUUID,octetArray,,current,,,,,,,,56506,16,
